original,normalised,method,reasoning
FLVCR,FLVCR1,llm,"""FLVCR"" is an exact synonym listed for FLVCR1, matching the gene name directly and confirming its relevance to the context of iron regulator proteins."
HCP-1,HCP-1,llm_declined,"None of the candidate gene symbols have ""HCP-1"" in their synonym lists, and no candidate gene is biologically plausible as an iron regulator protein based on the abstract context."
P53,TP53,llm,"""P53"" appears as a synonym in the TP53 gene's list, and it is a well-known tumor suppressor gene, which aligns with the context of inhibition alleviating OA progression."
S100A8,S100A8,direct,exact symbol match
JAK2,JAK2,direct,exact symbol match
JAK3,JAK3,direct,exact symbol match
STAT3,STAT3,direct,exact symbol match
RAGE,AGER,llm,"""RAGE"" appears as a synonym in the AGER gene's list, matching exactly and directly."
miR-204,miR-204,llm_declined,"None of the candidate gene symbols or their synonyms include ""miR-204,"" and the context suggests a microRNA, which is not represented in the provided candidate list."
CD36,CD36,direct,exact symbol match
CD11c,CD11c,llm_declined,"None of the candidate gene symbols or their synonyms match ""CD11c"", and the context does not suggest any of the listed genes are related to immune cell phenotypes or inflammation."
RIC8A,RIC8A,direct,exact symbol match
MAC,MAC,llm_declined,"""MAC"" does not appear in any of the candidate gene synonym lists, and none of the gene descriptions align with the context of inducing inflammatory and degradative molecules in chondrocytes."
p54(nrb),NONO,llm,"""p54(nrb)"" is explicitly listed as a synonym for the NONO gene, matching exactly and confirming the biological context of a nuclear RNA-binding protein."
Sdf1,Sdf1,llm_declined,"None of the candidate gene symbols have ""Sdf1"" in their synonym lists, and ""Sdf1"" is not biologically plausible for the described context of osteogenesis and vessel formation."
Camk2d,CAMK2D,direct,exact symbol match
Ppp3r2,PPP3R2,direct,exact symbol match
Nell1,NELL1,direct,exact symbol match
Sdf1a,Sdf1a,llm_declined,"""Sdf1a"" does not appear in any of the candidate gene synonym lists, and none of the gene descriptions are biologically plausible for a gene involved in osteoarthritis or bone remodeling."
HA,HA,llm_declined,"""HA"" does not appear in any of the candidate gene synonym lists, and none of the gene descriptions are biologically plausible matches for hyaluronan (HA) based on the abstract context."
methylprednisolone,methylprednisolone,llm_declined,"""Methylprednisolone"" does not appear in any of the candidate gene synonym lists, and none of the gene descriptions or functions are biologically plausible for methylprednisolone, which is a corticoste"
IKK,IKK,llm_declined,"None of the candidate gene symbols have ""IKK"" in their synonym lists, and ""IKK"" is not biologically plausible for any of the listed genes based on their functions and descriptions."
MMP,MMP,llm_declined,"None of the candidate gene symbols have ""MMP"" in their synonym lists, and ""MMP"" is not biologically plausible for any of the listed genes based on their functions and descriptions."
Il1r1,IL1R1,direct,exact symbol match
Il17,Il17,llm_declined,"""Il17"" does not appear in any of the candidate gene synonym lists, and none of the candidate genes are biologically plausible matches for IL-17 based on the abstract context."
MMP-1,MMP-1,llm_declined,"None of the candidate gene symbols or synonyms match ""MMP-1"", and the context suggests a matrix metalloproteinase, which is not represented among the listed candidates."
Cbfa1,Cbfa1,llm_declined,"""Cbfa1"" does not appear in any of the candidate gene synonym lists, and none of the candidate gene descriptions are biologically plausible matches for a gene involved in chondrocyte function or osteoa"
Tn,Tn,llm_declined,"""Tn"" does not appear in any of the candidate gene synonym lists, and none of the gene descriptions or functions align with the context of the abstract involving cartilage injury and safranin-O stainin"
BMP2,BMP2,direct,exact symbol match
BMP4,BMP4,direct,exact symbol match
CHI3L1,CHI3L1,direct,exact symbol match
Klf4,KLF4,direct,exact symbol match
Lactobacillus rhamnosus,Lactobacillus rhamnosus,llm_declined,"""Lactobacillus rhamnosus"" is a bacterial species, not a gene, and none of the candidate gene symbols or synonyms match this name."
OSM,OSM,direct,exact symbol match
TNFalpha,TNFalpha,llm_declined,"""TNFalpha"" does not appear in any of the candidate gene synonym lists, and none of the gene descriptions or synonyms are related to tumor necrosis factor alpha, which is biologically relevant to the c"
GlcN.HCl,GlcN.HCl,llm_declined,"""GlcN.HCl"" does not appear in any of the candidate gene synonym lists, and there is no biological plausibility linking it to the described context of cartilage lesions or fibrillations."
MucoP,MucoP,llm_declined,"""MucoP"" does not appear in any of the candidate gene synonym lists, and none of the gene descriptions or functions suggest a biological connection to mucin or cartilage-related processes."
Celecoxib,Celecoxib,llm_declined,"""Celecoxib"" is not listed as a synonym for any of the provided candidate genes, and none of the gene descriptions or synonyms relate to the drug Celecoxib, which is a COX-2 inhibitor used in osteoarth"
IκB-ζ,IκB-ζ,llm_declined,"""IκB-ζ"" does not appear in any of the candidate gene synonym lists, and none of the candidate genes are biologically relevant to osteoarthritis or the described context involving inflammation and chon"
MMPs,MMPs,llm_declined,"None of the candidate gene symbols have ""MMPs"" in their synonym lists, and ""MMPs"" refers to matrix metalloproteinases, which are not represented among the provided candidates."
ECS,ECS,llm_declined,"None of the candidate gene symbols have ""ECS"" in their synonym lists, and ""ECS"" does not correspond to any known gene or biological pathway related to osteoarthritis based on the provided context."
NEK7,NEK7,direct,exact symbol match
sPLA2,PLA2G2A,llm,"""sPLA2"" appears as a synonym in the PLA2G2A gene's list, and the abstract context aligns with its biological function in osteoarthritis."
TRPV1,TRPV1,direct,exact symbol match
HRF/TCTP,HRF/TCTP,llm_declined,"None of the candidate gene symbols or synonyms match ""HRF/TCTP"" case-insensitively or punctuation-insensitively, and no biological context in the abstract aligns with the provided candidate genes."
ADSCs,ADSCs,llm_declined,"""ADSCs"" does not appear in any of the candidate gene synonym lists, and none of the gene descriptions are biologically plausible matches for adipose-derived stem cells."
RANKL,TNFSF11,llm,"""RANKL"" is explicitly listed as a synonym for TNFSF11, matching exactly and confirming its biological relevance in osteoclastogenesis as described in the abstract."
Ccna2,CCNA2,direct,exact symbol match
Cdc20,CDC20,direct,exact symbol match
Mex3b,MEX3B,direct,exact symbol match
Sertad1,SERTAD1,direct,exact symbol match
Hopx,HOPX,direct,exact symbol match
Dtx4,DTX4,direct,exact symbol match
Ibsp,IBSP,direct,exact symbol match
Pdk,Pdk,llm_declined,"None of the candidate gene symbols have ""Pdk"" in their synonym lists, and ""Pdk"" is not biologically plausible for any of the listed genes based on the abstract context."
Bcat,Bcat,llm_declined,"""Bcat"" does not appear in any of the candidate gene synonym lists, and none of the gene descriptions align with the biological context of cartilage degeneration associated with β-catenin."
FcεRI,FcεRI,llm_declined,"""FcεRI"" does not appear in any of the candidate gene synonym lists, and none of the candidate genes are biologically related to mast cells or immune responses, which are implied by ""FcεRI"" (Fc epsilon"
Syk,SYK,direct,exact symbol match
Tryptase,TPSAB1,llm,"""Tryptase"" appears as a synonym in the TPSAB1 gene's list, and the abstract context aligns with the biological function of tryptase in inflammation and cartilage breakdown."
ATG2B,ATG2B,direct,exact symbol match
Wnt3a,WNT3A,direct,exact symbol match
Wnt8,Wnt8,llm_declined,"None of the candidate gene symbols have ""Wnt8"" in their synonym lists, and ""Wnt8"" is not biologically plausible for any of the listed genes based on their functions and descriptions."
Lrrc15,LRRC15,direct,exact symbol match
ERRα,ERRα,llm_declined,"None of the candidate gene symbols have ""ERRα"" in their synonym lists, and ""ERRα"" is a well-known nuclear receptor gene (estrogen-related receptor alpha) not represented among the provided candidates."
HSP32,HMOX1,llm,"""HSP32"" is listed as a synonym for HMOX1, matching exactly and directly."
HSP47,SERPINH1,llm,"""HSP47"" is explicitly listed as a synonym for SERPINH1, matching exactly and directly."
HSP60,HSPD1,llm,"""HSP60"" appears as a synonym in the synonym list of HSPD1, and it is biologically relevant to the context of heat shock protein expression."
HSP70,HSPA1A,llm,"""HSP70"" appears as a synonym in the synonym list of HSPA1A, and the context of up-regulation in cartilage aligns with the biological function of HSP70."
HSP84,HSP90AB1,llm,"""HSP84"" is listed as a synonym for HSP90AB1, matching exactly and directly."
HSP86,HSP86,llm_declined,"""HSP86"" does not appear in the synonym lists of any of the provided candidate genes, and none of the gene descriptions suggest a direct match to the heat shock protein 86."
IL-1 beta,IL1B,llm,"""IL-1 beta"" appears as a synonym in the synonym list of candidate gene IL1B, matching the gene name from the abstract."
TNF-alpha,TNF,llm,"""TNF-alpha"" is an exact synonym of the gene symbol TNF, matching the abstract context of TNF-alpha being associated with HSP70/HSP86 mRNA expression."
IFN-gamma,IFNG,llm,"""IFN-gamma"" is an exact synonym of the gene symbol IFNG, which encodes interferon gamma, matching the context of the abstract."
Hyaluronic acid,Hyaluronic acid,llm_declined,"""Hyaluronic acid"" does not appear in any of the candidate gene synonym lists, and none of the gene descriptions or functions are biologically plausible for hyaluronic acid, which is a glycosaminoglyca"
A2M-98,A2M-98,llm_declined,"""A2M-98"" does not appear in any of the candidate gene synonym lists, and none of the candidate genes are biologically plausible matches to a variant of A2M based on the abstract context."
Cited2,CITED2,direct,exact symbol match
Periosteum,Periosteum,llm_declined,"""Periosteum"" does not appear in any of the candidate gene synonym lists, and none of the gene descriptions or functions are biologically plausible for periosteum-related processes."
Gal-3,Gal-3,llm_declined,"""Gal-3"" does not appear in any of the candidate gene synonym lists, and none of the gene descriptions or functions align with the context of galactose-binding lectin 3, which is typically associated w"
Phlpp1,PHLPP1,direct,exact symbol match
Ptch1,PTCH1,direct,exact symbol match
Dot1l,DOT1L,direct,exact symbol match
HIF-1α,HIF-1α,llm_declined,"None of the candidate gene symbols have ""HIF-1α"" in their synonym lists, and the context does not suggest a biological link to HIF-1α."
monoiodoacetate,monoiodoacetate,llm_declined,"""Monoiodoacetate"" does not appear in any of the candidate gene synonym lists, and none of the gene descriptions or functions are biologically plausible for a compound named ""monoiodoacetate,"" which is"
tramadol,tramadol,llm_declined,"""Tramadol"" does not appear in any of the candidate gene synonym lists, and none of the gene descriptions or functions are biologically plausible for tramadol, which is a pain medication."
diclofenac,diclofenac,llm_declined,"""Diclofenac"" is not listed as a synonym for any of the candidate genes, and none of the gene descriptions or synonyms relate to a drug or analgesic activity, making it biologically implausible as a ge"
indomethacin,indomethacin,llm_declined,"""Indomethacin"" does not appear in any of the candidate gene synonym lists, and none of the gene descriptions or functions are biologically plausible for indomethacin, which is a non-steroidal anti-inf"
duloxetine,duloxetine,llm_declined,"""Duloxetine"" does not appear in any of the candidate gene synonym lists, and none of the gene descriptions or functions are biologically plausible for duloxetine, which is a serotonin-norepinephrine r"
gabapentin,gabapentin,llm_declined,"""Gabapentin"" does not appear in any of the candidate gene synonym lists, and none of the gene descriptions or functions are biologically plausible for gabapentin, which is a drug, not a gene."
acetaminophen,acetaminophen,llm_declined,"""Acetaminophen"" does not appear in any of the candidate gene synonym lists, and none of the gene descriptions or functions are biologically plausible for acetaminophen, which is a drug, not a gene."
ibuprofen,ibuprofen,llm_declined,"""Ibuprofen"" is not listed as a synonym for any of the candidate genes, and it is a drug, not a gene, making it biologically implausible as a gene symbol."
lamotrigine,lamotrigine,llm_declined,"""Lamotrigine"" does not appear in any of the candidate gene synonym lists, and none of the gene descriptions or functions are biologically plausible for lamotrigine, which is a drug used to treat seizu"
morphine,morphine,llm_declined,"""Morphine"" does not appear in any of the candidate gene synonym lists, and none of the gene functions are biologically plausible for a drug like morphine."
Hif1a,HIF1A,direct,exact symbol match
Klf10,KLF10,direct,exact symbol match
Cxcr1,CXCR1,direct,exact symbol match
Sfrp5,SFRP5,direct,exact symbol match
IGF-1,IGF-1,llm_declined,"""IGF-1"" does not appear in any of the candidate gene synonym lists, and none of the gene descriptions or functions align with the biological context of insulin-like growth factor 1."
Liver X receptor,Liver X receptor,llm_declined,"""Liver X receptor"" does not appear as a synonym for any of the listed candidate genes, and none of the gene descriptions or synonyms align with the biological context of the Liver X receptor."
ATP-binding-cassette transporter A1,ATP-binding-cassette transporter A1,llm_declined,"None of the candidate gene symbols have ""ATP-binding-cassette transporter A1"" in their synonym lists, and the context does not provide a clear match for this specific gene name."
Type II collagen,Type II collagen,llm_declined,"None of the candidate gene symbols have ""Type II collagen"" in their synonym list, and no candidate gene is directly associated with type II collagen based on the provided descriptions."
Aggrecan,Aggrecan,llm_declined,"None of the candidate gene symbols have ""Aggrecan"" in their synonym lists, and none are biologically plausible matches for an ECM gene involved in osteoarthritis."
PI3K,PIK3CA,llm,"""PI3K"" appears as a synonym in the PIK3CA gene's list, and it is biologically relevant to the PI3K/AKT signaling pathway mentioned in the abstract."
BLACAT1,BLACAT1,direct,exact symbol match
miR-142-5p,miR-142-5p,llm_declined,"""miR-142-5p"" is a microRNA and none of the provided candidate genes are microRNAs; they are all protein-coding or non-coding RNA genes, not microRNAs."
Atg7,ATG7,direct,exact symbol match
NF-kB,NFKB1,llm,"""NF-kB"" appears as a synonym in the NFKB1 gene's list, matching exactly with case and punctuation insensitivity, and is biologically relevant to inflammation and immune response, aligning with the abs"
Caspase-7,Caspase-7,llm_declined,"""Caspase-7"" does not appear in any of the candidate gene synonym lists, and none of the candidate genes are biologically plausible matches to a caspase involved in inflammation or osteoarthritis."
ColIITg<cog>,ColIITg<cog>,llm_declined,"""ColIITg<cog>"" does not match any of the candidate gene symbols or synonyms, and none of the candidate genes are biologically plausible for the context of osteoarthritis research."
LPA1,LPAR1,llm,"""LPA1"" appears as a synonym in the LPAR1 gene's list, confirming it as the exact match."
Flt1,FLT1,direct,exact symbol match
Vegf,Vegf,llm_declined,"None of the candidate gene symbols have ""Vegf"" in their synonym lists, and ""Vegf"" is not biologically plausible for the context of chondrocyte apoptosis in osteoarthritis research."
Glucosamine sulfate,Glucosamine sulfate,llm_declined,"""Glucosamine sulfate"" does not appear in any of the candidate gene synonym lists, and none of the gene descriptions or functions are biologically plausible for a gene related to glucosamine sulfate."
Glucosamine hydrochloride,Glucosamine hydrochloride,llm_declined,"""Glucosamine hydrochloride"" does not appear in any of the candidate gene synonym lists, and none of the gene descriptions or functions are biologically plausible for a compound like glucosamine hydroc"
PI3K/Akt,PI3K/Akt,llm_declined,"None of the candidate gene symbols or synonyms match ""PI3K/Akt"" exactly or contextually, and the abstract context does not support any of the listed genes as being related to the PI3K/Akt pathway."
PAK2,PAK2,direct,exact symbol match
NF-κB/HIF-2α,NF-κB/HIF-2α,llm_declined,"None of the candidate gene symbols have synonyms matching ""NF-κB"" or ""HIF-2α"", and the context does not suggest a plausible match among the listed genes."
MMP9,MMP9,direct,exact symbol match
Par1,Par1,llm_declined,"""Par1"" does not appear in any of the candidate gene synonym lists, and none of the gene descriptions align with the biological context of PAR-1 in osteoarthritis research."
IL-2,IL2,llm,"""IL-2"" appears as a synonym in the IL2 gene's list, and the context mentions an anti-inflammatory cytokine, which matches the function of IL2."
C-reactive protein,CRP,llm,"""C-reactive protein"" appears as a synonym in the CRP gene's list, providing an exact match."
Hdac4,HDAC4,direct,exact symbol match
Hdac8,HDAC8,direct,exact symbol match
ETBR,EDNRB,llm,"""ETBR"" is explicitly listed as a synonym for EDNRB, matching the gene symbol directly."
Autophagy,Autophagy,llm_declined,"None of the candidate gene symbols have ""Autophagy"" in their synonym lists, and none of the gene descriptions or functions are biologically plausible for autophagy."
FGF2,FGF2,direct,exact symbol match
Complement,Complement,llm_declined,"""Complement"" does not appear in any of the candidate gene synonym lists, and none of the gene descriptions or functions align with the biological context of complement system modulation in osteoarthri"
Il1rn,IL1RN,direct,exact symbol match
Cry1,CRY1,direct,exact symbol match
Fos,FOS,direct,exact symbol match
Il4,IL4,direct,exact symbol match
p38 MAPK,MAPK1,llm,"""p38"" appears as a synonym for MAPK1, matching the gene name directly and exactly."
Gsk3b,GSK3B,direct,exact symbol match
Cathepsin K,Cathepsin K,llm_declined,"""Cathepsin K"" does not appear in any of the candidate gene synonym lists, and none of the candidate genes are biologically plausible matches for a chondroprotective gene involved in cartilage damage."
Pkdcc,PKDCC,direct,exact symbol match
Tg<sup>cog</sup>,Tg<sup>cog</sup>,llm_declined,"""Tg<sup>cog</sup>"" does not match any of the candidate gene symbols or synonyms, and there is no biological context in the abstract that aligns with the provided candidate genes."
Atf6a,Atf6a,llm_declined,"""Atf6a"" does not appear in any of the candidate gene synonym lists, and none of the candidate genes are biologically plausible matches to an ER stress sensor involved in osteoarthritis."
Tgfbr1,TGFBR1,direct,exact symbol match
